mL,CV,Channel,Fraction,Sample,Normalization,Value
0.767466,0.03197775,mAU,1,Exp130_SEC,Signal,-2.378462
0.770378,0.0320990833333333,mAU,1,Exp130_SEC,Signal,-2.382553
0.773289,0.032220375,mAU,1,Exp130_SEC,Signal,-2.387757
0.776201,0.0323417083333333,mAU,1,Exp130_SEC,Signal,-2.39337
0.779112,0.032463,mAU,1,Exp130_SEC,Signal,-2.399446
0.782024,0.0325843333333333,mAU,1,Exp130_SEC,Signal,-2.405429
0.784935,0.032705625,mAU,1,Exp130_SEC,Signal,-2.41194
0.787847,0.0328269583333333,mAU,1,Exp130_SEC,Signal,-2.419996
0.790759,0.0329482916666666,mAU,1,Exp130_SEC,Signal,-2.427065
0.79367,0.0330695833333333,mAU,1,Exp130_SEC,Signal,-2.432309
0.796582,0.0331909166666666,mAU,1,Exp130_SEC,Signal,-2.436797
0.799493,0.0333122083333333,mAU,1,Exp130_SEC,Signal,-2.441003
0.802405,0.0334335416666666,mAU,1,Exp130_SEC,Signal,-2.44623
0.805316,0.0335548333333333,mAU,1,Exp130_SEC,Signal,-2.450358
0.808228,0.0336761666666666,mAU,1,Exp130_SEC,Signal,-2.457381
0.811139,0.0337974583333333,mAU,1,Exp130_SEC,Signal,-2.463594
0.814051,0.0339187916666666,mAU,1,Exp130_SEC,Signal,-2.469143
0.816963,0.034040125,mAU,1,Exp130_SEC,Signal,-2.474663
0.819874,0.0341614166666666,mAU,1,Exp130_SEC,Signal,-2.479915
0.822786,0.03428275,mAU,1,Exp130_SEC,Signal,-2.484022
0.825697,0.0344040416666666,mAU,1,Exp130_SEC,Signal,-2.489858
0.828609,0.034525375,mAU,1,Exp130_SEC,Signal,-2.495004
0.83152,0.0346466666666666,mAU,1,Exp130_SEC,Signal,-2.498838
0.834432,0.034768,mAU,1,Exp130_SEC,Signal,-2.505065
0.837343,0.0348892916666666,mAU,1,Exp130_SEC,Signal,-2.512117
0.840255,0.035010625,mAU,1,Exp130_SEC,Signal,-2.518726
0.843167,0.0351319583333333,mAU,1,Exp130_SEC,Signal,-2.525371
0.846078,0.03525325,mAU,1,Exp130_SEC,Signal,-2.53063
0.84899,0.0353745833333333,mAU,1,Exp130_SEC,Signal,-2.536505
0.851901,0.035495875,mAU,1,Exp130_SEC,Signal,-2.542962
0.854813,0.0356172083333333,mAU,1,Exp130_SEC,Signal,-2.548662
0.857724,0.0357385,mAU,1,Exp130_SEC,Signal,-2.553706
0.860636,0.0358598333333333,mAU,1,Exp130_SEC,Signal,-2.55804
0.863547,0.0359811249999999,mAU,1,Exp130_SEC,Signal,-2.562587
0.866459,0.0361024583333333,mAU,1,Exp130_SEC,Signal,-2.56749
0.869371,0.0362237916666666,mAU,1,Exp130_SEC,Signal,-2.570525
0.872282,0.0363450833333333,mAU,1,Exp130_SEC,Signal,-2.575874
0.875194,0.0364664166666666,mAU,1,Exp130_SEC,Signal,-2.580376
0.878105,0.0365877083333333,mAU,1,Exp130_SEC,Signal,-2.584713
0.881017,0.0367090416666666,mAU,1,Exp130_SEC,Signal,-2.588931
0.883928,0.0368303333333333,mAU,1,Exp130_SEC,Signal,-2.593222
0.88684,0.0369516666666666,mAU,1,Exp130_SEC,Signal,-2.597517
0.889751,0.0370729583333333,mAU,1,Exp130_SEC,Signal,-2.601989
0.892663,0.0371942916666666,mAU,1,Exp130_SEC,Signal,-2.608614
0.895575,0.037315625,mAU,1,Exp130_SEC,Signal,-2.613783
0.898486,0.0374369166666666,mAU,1,Exp130_SEC,Signal,-2.618767
0.901398,0.03755825,mAU,1,Exp130_SEC,Signal,-2.625158
0.904309,0.0376795416666666,mAU,1,Exp130_SEC,Signal,-2.631765
0.907221,0.037800875,mAU,1,Exp130_SEC,Signal,-2.637587
0.910132,0.0379221666666666,mAU,1,Exp130_SEC,Signal,-2.642664
0.913044,0.0380435,mAU,1,Exp130_SEC,Signal,-2.647988
0.915955,0.0381647916666666,mAU,1,Exp130_SEC,Signal,-2.654424
0.918867,0.038286125,mAU,1,Exp130_SEC,Signal,-2.65738
0.921779,0.0384074583333333,mAU,1,Exp130_SEC,Signal,-2.661635
0.92469,0.03852875,mAU,1,Exp130_SEC,Signal,-2.667658
0.927602,0.0386500833333333,mAU,1,Exp130_SEC,Signal,-2.67245
0.930513,0.038771375,mAU,1,Exp130_SEC,Signal,-2.67601
0.933425,0.0388927083333333,mAU,1,Exp130_SEC,Signal,-2.680048
0.936336,0.039014,mAU,1,Exp130_SEC,Signal,-2.685131
0.939248,0.0391353333333333,mAU,1,Exp130_SEC,Signal,-2.689877
0.942159,0.0392566249999999,mAU,1,Exp130_SEC,Signal,-2.695333
0.945071,0.0393779583333333,mAU,1,Exp130_SEC,Signal,-2.70124
0.947983,0.0394992916666666,mAU,1,Exp130_SEC,Signal,-2.706464
0.950894,0.0396205833333333,mAU,1,Exp130_SEC,Signal,-2.712121
0.953806,0.0397419166666666,mAU,1,Exp130_SEC,Signal,-2.7171
0.956717,0.0398632083333333,mAU,1,Exp130_SEC,Signal,-2.721784
0.959629,0.0399845416666666,mAU,1,Exp130_SEC,Signal,-2.728668
0.96254,0.0401058333333333,mAU,1,Exp130_SEC,Signal,-2.734252
0.965452,0.0402271666666666,mAU,1,Exp130_SEC,Signal,-2.739678
0.968363,0.0403484583333333,mAU,1,Exp130_SEC,Signal,-2.745266
0.971275,0.0404697916666666,mAU,1,Exp130_SEC,Signal,-2.751044
0.974187,0.040591125,mAU,1,Exp130_SEC,Signal,-2.756848
0.977098,0.0407124166666666,mAU,1,Exp130_SEC,Signal,-2.762341
0.98001,0.04083375,mAU,1,Exp130_SEC,Signal,-2.767779
0.982921,0.0409550416666666,mAU,1,Exp130_SEC,Signal,-2.773923
0.985833,0.041076375,mAU,1,Exp130_SEC,Signal,-2.779509
0.988744,0.0411976666666666,mAU,1,Exp130_SEC,Signal,-2.785378
0.991656,0.041319,mAU,1,Exp130_SEC,Signal,-2.791298
0.994567,0.0414402916666666,mAU,1,Exp130_SEC,Signal,-2.797323
0.997479,0.041561625,mAU,1,Exp130_SEC,Signal,-2.802025
1.000391,0.0416829583333333,mAU,1,Exp130_SEC,Signal,-2.806802
1.003302,0.0418042499999999,mAU,1,Exp130_SEC,Signal,-2.812828
1.006214,0.0419255833333333,mAU,1,Exp130_SEC,Signal,-2.81807
1.009125,0.042046875,mAU,1,Exp130_SEC,Signal,-2.824934
1.012037,0.0421682083333333,mAU,1,Exp130_SEC,Signal,-2.8297
1.014948,0.0422895,mAU,1,Exp130_SEC,Signal,-2.834759
1.01786,0.0424108333333333,mAU,1,Exp130_SEC,Signal,-2.840824
1.020771,0.042532125,mAU,1,Exp130_SEC,Signal,-2.846664
1.023683,0.0426534583333333,mAU,1,Exp130_SEC,Signal,-2.850888
1.026595,0.0427747916666666,mAU,1,Exp130_SEC,Signal,-2.85381
1.029506,0.0428960833333333,mAU,1,Exp130_SEC,Signal,-2.857399
1.032418,0.0430174166666666,mAU,1,Exp130_SEC,Signal,-2.861952
1.035329,0.0431387083333333,mAU,1,Exp130_SEC,Signal,-2.867829
1.038241,0.0432600416666666,mAU,1,Exp130_SEC,Signal,-2.873675
1.041152,0.0433813333333333,mAU,1,Exp130_SEC,Signal,-2.879697
1.044064,0.0435026666666666,mAU,1,Exp130_SEC,Signal,-2.884629
1.046975,0.0436239583333333,mAU,1,Exp130_SEC,Signal,-2.88956
1.049887,0.0437452916666666,mAU,1,Exp130_SEC,Signal,-2.895798
